"N. ALBO","FONDO","COMPARTO","NOTE","CATEGORIA","RENDIMENTO Ultimo anno (2023)","RENDIMENTO Ultimi 3 anni (2021-2023)","RENDIMENTO Ultimi 5 anni (2019-2023)","RENDIMENTO Ultimi 10 anni (2014-2023)","RENDIMENTO Ultimi 20 anni (2004-2023)"
"6","ALMEGLIO FONDO PENSIONE APERTO ALLEANZA A CONTRIBUZIONE DEFINITA","OBBLIGAZIONARIO","(4)","GAR","1.53","-4.82","-1.76","-0.18","0.77"
"6","ALMEGLIO FONDO PENSIONE APERTO ALLEANZA A CONTRIBUZIONE DEFINITA","BILANCIATO","(4)","GAR","6.66","-1.08","1.32","1.48","2.59"
"6","ALMEGLIO FONDO PENSIONE APERTO ALLEANZA A CONTRIBUZIONE DEFINITA","AZIONARIO","","AZN","11.81","2.42","4.71","3.40","3.68"
"4","ALLIANZ PREVIDENZA FONDO PENSIONE APERTO A CONTRIBUZIONE DEFINITA","LINEA FLESSIBILE","(4) (5)","GAR","6.53","-4.55","-0.87","0.59","1.86"
"4","ALLIANZ PREVIDENZA FONDO PENSIONE APERTO A CONTRIBUZIONE DEFINITA","LINEA BILANCIATA","(5)","BIL","9.41","-0.97","2.15","2.93","3.10"
"4","ALLIANZ PREVIDENZA FONDO PENSIONE APERTO A CONTRIBUZIONE DEFINITA","LINEA AZIONARIA","(5)","AZN","13.98","4.60","6.71","5.79","4.47"
"4","ALLIANZ PREVIDENZA FONDO PENSIONE APERTO A CONTRIBUZIONE DEFINITA","LINEA OBBLIGAZIONARIA BREVE TERMINE","(5)","OBB PURO","2.50","-1.07","-0.84","",""
"4","ALLIANZ PREVIDENZA FONDO PENSIONE APERTO A CONTRIBUZIONE DEFINITA","LINEA OBBLIGAZIONARIA LUNGO TERMINE","(5)","OBB PURO","4.48","-3.01","-1.28","",""
"4","ALLIANZ PREVIDENZA FONDO PENSIONE APERTO A CONTRIBUZIONE DEFINITA","LINEA MULTIASSET","(5)","BIL","5.85","-1.42","0.49","",""
"118","INSIEME - FONDO PENSIONE APERTO A CONTRIBUZIONE DEFINITA","LINEA FLESSIBILE","(4)","GAR","7.22","-4.23","-0.67","0.03","1.04"
"118","INSIEME - FONDO PENSIONE APERTO A CONTRIBUZIONE DEFINITA","LINEA OBBLIGAZIONARIA","","OBB MISTO","5.69","-1.10","0.12","0.78","1.96"
"118","INSIEME - FONDO PENSIONE APERTO A CONTRIBUZIONE DEFINITA","LINEA BILANCIATA","","AZN","10.18","2.01","3.80","3.69","3.72"
"118","INSIEME - FONDO PENSIONE APERTO A CONTRIBUZIONE DEFINITA","LINEA AZIONARIA","","AZN","15.25","5.49","7.66","6.69","5.29"
"118","INSIEME - FONDO PENSIONE APERTO A CONTRIBUZIONE DEFINITA","LINEA OBBLIGAZIONARIA BREVE TERMINE","","OBB PURO","2.93","-0.81","-0.58","",""
"118","INSIEME - FONDO PENSIONE APERTO A CONTRIBUZIONE DEFINITA","LINEA OBBLIGAZIONARIA LUNGO TERMINE","","OBB PURO","5.02","-2.68","-0.96","",""
"118","INSIEME - FONDO PENSIONE APERTO A CONTRIBUZIONE DEFINITA","LINEA MULTIASSET","","BIL","6.49","-0.79","1.00","",""
"65","SECONDAPENSIONE FONDO PENSIONE APERTO","PRUDENTE ESG","","OBB MISTO","4.60","-0.78","0.97","1.12","1.67"
"65","SECONDAPENSIONE FONDO PENSIONE APERTO","BILANCIATA ESG","","BIL","5.46","-1.00","2.64","2.86","3.33"
"65","SECONDAPENSIONE FONDO PENSIONE APERTO","SVILUPPO ESG","","BIL","6.28","0.86","4.32","4.16","3.96"
"65","SECONDAPENSIONE FONDO PENSIONE APERTO","ESPANSIONE ESG","","AZN","7.92","4.37","7.04","5.51","4.81"
"65","SECONDAPENSIONE FONDO PENSIONE APERTO","GARANTITA ESG","(4)","GAR","3.82","-0.63","0.21","0.78",""
"169","CORE PENSION FONDO PENSIONE APERTO","OBBLIGAZIONARIO MISTO 25% ESG","","OBB MISTO","5.20","-1.81","1.55","",""
"169","CORE PENSION FONDO PENSIONE APERTO","BILANCIATO 50% ESG","","BIL","5.95","0.60","3.85","",""
"169","CORE PENSION FONDO PENSIONE APERTO","AZIONARIO 75% ESG","","AZN","6.95","2.29","5.67","",""
"169","CORE PENSION FONDO PENSIONE APERTO","AZIONARIO PLUS 90% ESG","","AZN","7.27","3.78","6.91","",""
"169","CORE PENSION FONDO PENSIONE APERTO","GARANTITO ESG","(4)","GAR","3.70","-0.60","-0.02","",""
"63","ARTI E MESTIERI FONDO PENSIONE APERTO","CRESCITA 25+","(5)","AZN","11.62","4.44","6.81","5.79","4.96"
"63","ARTI E MESTIERI FONDO PENSIONE APERTO","RIVALUTAZIONE 10+","(5)","BIL","7.38","-0.25","2.48","3.22","3.51"
"63","ARTI E MESTIERI FONDO PENSIONE APERTO","CONSERVAZIONE 3+","(5)","OBB PURO","2.46","-2.57","-1.05","0.78","1.21"
"63","ARTI E MESTIERI FONDO PENSIONE APERTO","GARANZIA 1+","(4) (5)","GAR","2.25","0.16","-0.07","-0.20","0.56"
"63","ARTI E MESTIERI FONDO PENSIONE APERTO","INCREMENTO E GARANZIA 5+","(4) (5)","GAR","5.82","0.55","1.15","1.52",""
"63","ARTI E MESTIERI FONDO PENSIONE APERTO","EQUILIBRIO 5+","(5)","BIL","5.74","-1.75","0.37","1.50",""
"26","ARCA PREVIDENZA FONDO PENSIONE APERTO","RENDITA SOSTENIBILE","(5)","BIL","6.69","-0.67","1.25","2.07","2.84"
"26","ARCA PREVIDENZA FONDO PENSIONE APERTO","CRESCITA SOSTENIBILE","(5)","BIL","8.74","-0.04","2.74","2.96","3.05"
"26","ARCA PREVIDENZA FONDO PENSIONE APERTO","ALTA CRESCITA SOSTENIBILE","(5)","BIL","10.75","2.85","5.19","4.07","3.36"
"26","ARCA PREVIDENZA FONDO PENSIONE APERTO","OBIETTIVO TFR","(4) (5)","GAR","4.46","0.56","0.44","0.31",""
"150","FONDO PENSIONE APERTO IL MELOGRANO","PRUDENTE","","OBB PURO","3.95","-2.31","-0.95","0.23",""
